loc_rowid,pl_name,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,sy_dist,sy_disterr1,sy_disterr2
951,HD 26161 b,Radial Velocity,2021,10942.29013000,10474.08070000,-1387.88781000,0,10.087000,5.615000,-1.085000,0,11.900,,,0,9045.39646,6372.14173,-70.55791,0,0.922000,0.037000,-0.099000,0,,,,,,,,,6057.62,87.60,-87.60,0,1.46,0.03,-0.03,0,1.12,0.15,-0.15,0,0.393,0.013,-0.014,0,40.9128000,0.0764000,-0.0761000
952,HD 2638 b,Radial Velocity,2005,3.44420000,0.00020000,-0.00020000,0,0.040000,0.000000,0.000000,0,14.300,,,0,133.48860,9.53490,-9.53490,0,0.000000,,,0,,,,,,,,,5186.00,8.00,-8.00,0,0.94,0.03,-0.03,0,0.77,0.09,-0.09,0,-0.330,,,0,54.9621000,0.1556000,-0.1547000
953,HD 2685 b,Transit,2019,4.12688000,0.00005000,-0.00004000,0,0.056800,0.000600,-0.000600,0,16.141,0.560,-0.560,0,371.86110,38.13960,-38.13960,0,0.091000,0.039000,-0.047000,0,2018.85,,,0,2061,28,-28,0,6801.00,76.00,-76.00,0,1.56,0.05,-0.05,0,1.43,0.05,-0.04,0,0.668,0.038,-0.041,0,196.8520000,0.7770000,-0.7710000
954,HD 26965 b,Radial Velocity,2018,42.37800000,0.01000000,-0.01000000,0,,,,,2.840,,,0,8.47000,0.47000,-0.47000,0,0.040000,0.050000,-0.030000,0,,,,,,,,,5072.00,53.00,-53.00,0,0.87,0.17,-0.17,0,0.78,0.08,-0.08,0,-0.340,0.002,-0.002,0,5.0354500,0.0130600,-0.0130000
955,HD 27442 b,Radial Velocity,2000,428.10000000,1.10000000,-1.10000000,0,1.271000,0.073000,-0.073000,0,13.500,,,0,495.80000,44.50000,-44.50000,0,0.060000,0.043000,-0.043000,0,,,,,,,,,4846.00,44.00,-44.00,0,3.18,0.08,-0.08,0,1.23,,,0,0.851,0.002,-0.002,0,18.2704000,0.0545000,-0.0545000
956,HD 27631 b,Radial Velocity,2012,2198.14000000,54.11000000,-50.34000000,0,3.242000,0.070000,-0.068000,0,13.500,,,0,495.81231,63.56568,-47.67426,0,0.141000,0.062000,-0.065000,0,,,,,,,,,5737.00,36.00,-36.00,0,0.92,0.03,-0.03,0,0.94,0.03,-0.03,0,-0.056,,,0,50.2862000,0.0823000,-0.0821000
957,HD 27894 b,Radial Velocity,2005,18.01939000,0.00024000,-0.00027000,0,0.125000,0.005000,-0.005000,0,14.100,,,0,196.73578,15.89142,-15.89142,0,0.047000,0.012000,-0.011000,0,,,,,,,,,4875.00,81.00,-81.00,0,0.89,0.01,-0.02,0,0.81,0.10,-0.10,0,-0.449,,,0,43.8214000,0.0593000,-0.0591000
958,HD 27894 c,Radial Velocity,2017,36.07000000,0.26000000,-0.09000000,0,0.198000,0.001000,-0.001000,0,8.240,,,0,51.48846,3.49613,-12.71320,0,0.015000,0.020000,-0.002000,0,,,,,,,,,4894.00,25.00,-25.00,0,0.89,0.01,-0.02,0,0.80,,,0,-0.409,0.001,-0.001,0,43.8214000,0.0593000,-0.0591000
959,HD 27894 d,Radial Velocity,2017,5019.54244000,32.59359000,-31.12557000,0,5.362000,0.206000,-0.223000,0,12.700,,,0,2063.65985,313.69664,-112.19343,0,0.343000,0.031000,-0.026000,0,,,,,,,,,4894.00,25.00,-25.00,0,0.89,0.01,-0.02,0,0.81,0.10,-0.10,0,-0.409,0.001,-0.001,0,43.8214000,0.0593000,-0.0591000
960,HD 27969 b,Radial Velocity,2021,654.50000000,5.70000000,-5.80000000,0,1.552000,0.032000,-0.033000,0,12.900,,,0,1525.57635,76.27882,-73.10053,0,0.182000,0.019000,-0.019000,0,0.76,0.13,-0.12,0,261,11,-11,0,5966.00,21.00,-21.00,0,1.27,0.10,-0.10,0,1.16,0.07,-0.07,0,0.528,0.013,-0.012,0,67.9328000,0.3043000,-0.3018000
